Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,2017-12-27 12:31:33,false,"Seattle Running","10.01","747","49:29","--","--","0.0","--","--","4:57","0:55","30","61","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-12-24 11:42:02,false,"Seattle Running","21.15","1,560","1:43:22","--","--","0.0","--","--","4:53","0:26","65","109","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-12-20 06:56:43,false,"Seattle Running","7.41","548","36:40","--","--","0.0","--","--","4:57","2:32","15","58","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-12-17 10:56:39,false,"Seattle Running","21.31","1,567","1:45:40","--","--","0.0","--","--","4:57","0:42","76","123","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-12-12 08:43:06,false,"Seattle Running","7.39","538","38:44","--","--","0.0","--","--","5:15","2:24","11","59","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-12-10 12:37:11,false,"Seattle Running","21.09","1,555","1:47:10","--","--","0.0","--","--","5:05","2:19","75","107","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-12-03 11:51:10,false,"Seattle Running","21.17","1,568","1:45:53","--","--","0.0","--","--","5:00","0:37","101","107","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-29 08:20:14,false,"Seattle Running","7.34","542","36:02","--","--","0.0","--","--","4:55","1:35","10","58","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-24 10:25:06,false,"Seattle Running","21.35","1,559","1:52:55","--","--","0.0","--","--","5:17","1:22","87","88","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-18 13:08:11,false,"Seattle Running","21.12","1,552","1:47:13","--","--","0.0","--","--","5:05","0:41","95","102","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-16 08:27:30,false,"Seattle Running","7.30","541","38:10","--","--","0.0","--","--","5:13","1:38","20","67","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-14 08:11:58,false,"Seattle Running","7.30","533","37:32","--","--","0.0","--","--","5:09","0:31","13","59","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-11 11:37:58,false,"Seattle Running","21.21","1,561","1:46:02","--","--","0.0","--","--","5:00","3:40","64","63","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-05 11:10:07,false,"Seattle Running","21.17","1,560","1:44:33","--","--","0.0","--","--","4:56","3:11","72","72","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-11-01 08:08:07,false,"Seattle Running","7.37","549","37:25","--","--","0.0","--","--","5:04","1:03","10","59","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-28 10:14:57,false,"Seattle Running","22.39","1,643","1:54:33","--","--","0.0","--","--","5:07","4:38","3","3","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-26 08:28:36,false,"Running","0.00","--","37:56","--","--","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-22 14:02:19,false,"Seattle Running","13.02","953","1:00:10","--","--","0.0","--","--","4:37","3:36","45","47","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-20 06:02:33,false,"Orlando Running","3.27","238","18:55","--","--","0.0","--","--","5:47","5:10","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-15 11:27:10,false,"Seattle Running","21.13","1,541","1:52:30","--","--","0.0","--","--","5:19","1:18","85","81","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-10 08:34:17,false,"Seattle Running","7.37","541","40:15","--","--","0.0","--","--","5:28","0:30","25","65","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-08 11:24:15,false,"Seattle Running","21.23","1,552","1:49:40","--","--","0.0","--","--","5:10","3:35","76","74","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-10-01 10:47:28,false,"Seattle Running","21.30","1,550","1:48:27","--","--","0.0","--","--","5:05","0:26","72","74","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-25 08:35:57,false,"Seattle Running","7.31","537","39:06","--","--","0.0","--","--","5:21","2:07","11","60","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-19 08:34:28,false,"Seattle Running","7.32","535","38:26","--","--","0.0","--","--","5:15","1:31","17","62","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-14 08:40:35,false,"Seattle Running","7.30","538","38:22","--","--","0.0","--","--","5:15","1:05","14","62","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-09-11 08:37:10,false,"Seattle Running","7.25","538","40:01","--","--","0.0","--","--","5:31","1:00","22","68","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
